"Lot.Frontage","Lot.Area","Neighborhood","Year.Built","Garage.Type","Garage.Finish","Garage.Cars","Paved.Drive","Full.Bath","X1st.Flr.SF","X2nd.Flr.SF","Bedroom.AbvGr","SalePrice"
72,16387,"NridgHt",2006,"Attchd","RFn",3,"Y",2,1738,851,4,412083
,13517,"Sawyer",1976,"Attchd","RFn",2,"Y",2,725,754,3,130500
108,13418,"NridgHt",2004,"BuiltIn","Fin",3,"Y",3,1132,1320,4,309000
88,10179,"Gilbert",1997,"Attchd","Fin",2,"Y",2,945,663,3,189500
60,7740,"OldTown",1910,"Detchd","Unf",2,"Y",1,741,622,3,125500
52,8741,"Edwards",1945,"Detchd","Unf",1,"Y",1,798,689,3,113000
105,11025,"NoRidge",1992,"Attchd","RFn",3,"Y",2,1520,1306,3,334000
94,7819,"Edwards",1976,"Detchd","Unf",2,"Y",1,1117,0,3,107000
60,9550,"Crawfor",1915,"Detchd","Unf",3,"Y",1,961,756,3,140000
40,4280,"Crawfor",1913,"Detchd","Unf",1,"P",1,694,0,2,90350
,16669,"Timber",1981,"Attchd","RFn",2,"Y",2,1707,0,2,228000
71,9187,"Mitchel",1983,"Attchd","Unf",2,"Y",1,1080,0,3,134000
55,8250,"Sawyer",1968,"Attchd","Unf",1,"Y",1,1211,0,3,134000
58,9487,"Gilbert",2000,"Attchd","RFn",2,"Y",2,940,750,3,187000
100,34650,"Gilbert",1955,"Attchd","Fin",2,"Y",1,1056,0,3,145000
60,11409,"Edwards",1949,"Attchd","Unf",1,"Y",1,1148,568,3,131000
90,10454,"NAmes",1957,"Detchd","Unf",1,"Y",1,1105,0,3,135000
70,10552,"NAmes",1959,"Attchd","RFn",2,"Y",1,1700,0,4,165500
80,10000,"Mitchel",2002,"Attchd","Fin",3,"Y",2,1392,0,3,215000
80,10400,"NWAmes",1976,"Attchd","Unf",2,"Y",2,1444,0,2,159900
,9610,"NAmes",1958,"Attchd","RFn",2,"Y",1,1336,0,3,162000
80,9760,"NAmes",1963,"Attchd","RFn",2,"Y",1,1395,0,2,192000
42,7614,"OldTown",1905,"Detchd","Unf",1,"N",1,714,662,2,96900
30,4420,"Greens",1980,"Detchd","Fin",2,"Y",1,788,0,1,155000
103,13125,"SawyerW",1991,"Attchd","RFn",3,"Y",2,912,1215,4,238000
68,7942,"NAmes",1953,"Attchd","Fin",1,"Y",1,1040,0,3,136000
32,4500,"Mitchel",1998,"Attchd","Fin",2,"Y",2,1204,0,2,162000
,21453,"ClearCr",1969,"Attchd","Unf",2,"Y",1,988,0,1,180000
61,7577,"NridgHt",2005,"Attchd","RFn",2,"Y",2,1362,0,2,194700
79,13110,"NWAmes",1972,"Attchd","Fin",2,"Y",2,1193,0,2,146500
102,13514,"NridgHt",2008,"Attchd","Fin",3,"Y",2,1808,0,3,324000
70,6960,"Sawyer",1940,"Attchd","Unf",1,"Y",1,798,504,2,165250
60,9600,"OldTown",1920,"2Types","Unf",2,"Y",2,1377,973,4,130000
79,9245,"CollgCr",2006,"Attchd","RFn",2,"Y",2,939,858,3,213500
,7340,"NAmes",1971,"Detchd","Unf",1,"Y",1,858,0,2,110000
79,11449,"Timber",2007,"Attchd","Fin",2,"Y",2,1728,0,3,298751
69,7590,"NAmes",1966,"Attchd","RFn",2,"Y",1,660,688,3,155000
90,22950,"OldTown",1892,"Detchd","Unf",3,"Y",2,1518,1518,4,475000
64,6762,"CollgCr",2007,"Attchd","RFn",2,"Y",2,1290,0,2,200000
,26142,"Mitchel",1962,"Attchd","Unf",1,"P",1,1188,0,3,157900
96,11777,"Sawyer",1966,"Attchd","RFn",2,"Y",1,1320,0,3,164500
110,14977,"NridgHt",2006,"Attchd","RFn",3,"Y",2,1976,0,2,440000
,8885,"Mitchel",1983,"Attchd","Unf",2,"Y",1,902,0,2,131000
69,23580,"Mitchel",1979,"Attchd","Fin",2,"Y",2,1625,0,3,242500
80,8800,"NAmes",1966,"Attchd","RFn",2,"Y",2,1200,0,3,163500
100,14836,"NridgHt",2004,"Attchd","Fin",3,"Y",2,2492,0,2,552000
71,8540,"NAmes",1956,"Detchd","Unf",1,"Y",1,925,0,3,127000
62,7917,"Gilbert",1999,"Attchd","RFn",2,"Y",2,953,694,3,175000
89,8232,"NridgHt",2007,"Attchd","RFn",3,"Y",2,1800,0,2,370967
121,16059,"NoRidge",1991,"Attchd","Unf",2,"Y",2,1301,1116,4,260000
93,11999,"NridgHt",2003,"BuiltIn","Fin",3,"Y",2,1234,1140,4,285000
,7015,"BrkSide",1950,"Detchd","Unf",1,"Y",1,979,224,3,110000
45,6264,"StoneBr",1997,"Attchd","Fin",2,"Y",1,1682,0,1,247900
44,9548,"CollgCr",2003,"Attchd","RFn",2,"Y",2,941,888,3,237000
90,5400,"OldTown",1954,"Detchd","Unf",1,"Y",1,833,0,2,117000
65,7800,"SawyerW",2005,"Attchd","Fin",2,"Y",2,891,795,3,184000
80,10386,"CollgCr",2004,"Attchd","Fin",3,"Y",2,2000,0,3,305900
70,8749,"CollgCr",2003,"Attchd","RFn",2,"Y",2,992,940,3,213000
71,12209,"Mitchel",2001,"BuiltIn","Fin",2,"Y",2,804,1157,3,215000
75,8778,"Somerst",2006,"BuiltIn","RFn",3,"Y",2,1302,528,3,221300
57,12853,"Somerst",2010,"Attchd","RFn",3,"Y",1,1418,0,1,267916
,10246,"Sawyer",1965,"Attchd","Unf",1,"Y",0,960,0,0,145000
90,9900,"NoRidge",1993,"Attchd","RFn",3,"Y",2,1372,1274,4,260000
50,8340,"CollgCr",1977,"Attchd","Unf",1,"Y",1,686,702,3,157500
50,8405,"Edwards",1945,"Detchd","Unf",1,"N",2,1088,441,4,98000
75,10215,"Edwards",1954,"Attchd","Unf",1,"Y",1,948,0,3,111000
,12224,"Gilbert",2000,"BuiltIn","RFn",2,"Y",2,1022,1032,3,244000
,24682,"Gilbert",1999,"BuiltIn","Fin",2,"Y",2,892,783,3,181000
69,5805,"OldTown",1957,"Detchd","Unf",2,"Y",1,1347,0,3,143000
80,9547,"NWAmes",1993,"Attchd","RFn",2,"Y",2,1594,0,2,188500
75,10125,"Mitchel",1977,"Detchd","Unf",2,"Y",2,1279,0,3,171500
,5100,"OldTown",1925,"Detchd","Unf",1,"Y",1,833,833,3,161000
90,11367,"CollgCr",2002,"Attchd","Fin",2,"Y",2,1091,898,3,255000
75,11380,"NAmes",1966,"Attchd","Unf",1,"Y",1,1128,0,2,178000
,7425,"BrkSide",1945,"Attchd","Unf",1,"Y",1,1195,473,3,108000
110,16163,"NridgHt",2004,"Attchd","Fin",3,"Y",2,1618,0,2,252000
52,51974,"StoneBr",2006,"Attchd","Fin",3,"Y",2,2338,0,4,591587
65,16219,"Gilbert",2004,"Attchd","Fin",2,"Y",2,1119,0,2,188500
61,7658,"NridgHt",2005,"Attchd","RFn",2,"Y",2,1752,0,2,319900
,16698,"ClearCr",1992,"Attchd","Unf",2,"Y",2,944,815,3,233500
65,12438,"CollgCr",1995,"Attchd","RFn",2,"Y",2,795,704,3,187000
60,8400,"SawyerW",1977,"Detchd","Unf",2,"Y",2,2020,0,4,144000
34,4590,"NridgHt",2006,"Attchd","RFn",2,"Y",2,1554,0,2,209500
50,7689,"Mitchel",1972,"Detchd","Unf",1,"Y",1,796,0,2,131900
52,6240,"BrkSide",1930,"Detchd","Unf",1,"Y",1,1014,412,3,131750
64,7406,"CollgCr",2006,"Attchd","RFn",2,"Y",2,1220,0,2,194000
90,5400,"OldTown",1940,,,0,"N",1,599,0,2,59000
,9233,"NoRidge",2000,"Attchd","RFn",3,"Y",2,1540,1315,4,405000
68,11250,"CollgCr",2001,"Attchd","RFn",2,"Y",2,920,866,3,223500
65,8125,"Somerst",2006,"Attchd","Fin",2,"Y",2,1112,438,2,241000
58,6451,"OldTown",1900,"Detchd","Fin",2,"Y",1,848,580,4,139900
,17529,"Sawyer",1924,"Detchd","Unf",1,"N",1,872,0,2,105000
80,10197,"NAmes",1961,"Attchd","Unf",2,"Y",1,1362,0,3,163000
80,9600,"NWAmes",1973,"Attchd","Unf",2,"Y",1,1242,0,3,175500
63,9750,"Sawyer",1962,"Detchd","Unf",2,"Y",1,980,0,3,110000
80,9600,"NAmes",1961,"Attchd","Unf",2,"Y",1,1433,0,3,161000
88,11394,"StoneBr",2010,"Attchd","Fin",3,"Y",1,1856,0,1,394432
,6615,"BrkSide",1923,"BuiltIn","Unf",1,"Y",1,1432,0,3,149000
73,7321,"Somerst",1999,"Detchd","Unf",2,"Y",2,1358,0,3,204000
80,8800,"NAmes",1965,"Attchd","RFn",1,"Y",2,1565,0,3,185900
48,5911,"NridgHt",2005,"Attchd","RFn",2,"Y",2,1565,0,2,282500
53,5362,"Crawfor",1910,"Detchd","Unf",2,"Y",2,661,589,3,139000
43,3203,"Blmngtn",2006,"Attchd","Fin",2,"Y",2,1145,0,2,160000
103,11175,"CollgCr",2007,"Attchd","Fin",2,"Y",2,1316,0,3,200141
95,14250,"NAmes",1957,"Attchd","Fin",2,"Y",2,1790,0,3,180000
40,14330,"CollgCr",1975,"Attchd","Fin",2,"Y",2,1558,0,2,163000
65,11700,"OldTown",1880,"Detchd","Unf",4,"N",1,1320,1320,4,265979
77,11198,"StoneBr",2005,"BuiltIn","Fin",3,"Y",2,1134,1370,4,325000
50,9000,"OldTown",1890,"Detchd","Unf",2,"N",3,1157,1111,3,240000
59,4282,"Somerst",2004,"Attchd","RFn",2,"Y",2,1391,0,2,196000
64,9045,"CollgCr",2005,"Attchd","Fin",2,"Y",2,768,768,3,167000
79,10646,"Somerst",2001,"Attchd","Fin",2,"Y",2,872,917,3,223000
128,12160,"NAmes",1953,"Attchd","RFn",2,"Y",1,1505,0,2,149500
60,10800,"Edwards",1987,,,0,"Y",3,1200,0,3,179000
110,14257,"NridgHt",2007,"BuiltIn","Fin",3,"Y",3,1794,978,4,462000
85,14115,"Mitchel",1993,"Attchd","Unf",2,"Y",1,796,566,1,143000
,11241,"NAmes",1970,"Attchd","Fin",2,"Y",1,1004,0,2,149000
79,7801,"Crawfor",1951,"Attchd","Fin",1,"Y",1,1091,0,2,104000
50,14859,"Gilbert",2006,"Attchd","RFn",3,"Y",2,1670,0,3,240000
75,13125,"CollgCr",1997,"Attchd","Fin",2,"Y",2,1493,0,3,208900
50,6125,"BrkSide",1939,"Detchd","Unf",1,"Y",2,728,546,3,135000
69,9337,"CollgCr",1997,"Attchd","RFn",2,"Y",2,905,881,3,204750
90,14684,"SawyerW",1990,"Attchd","RFn",3,"Y",2,2196,0,3,271900
,12968,"Sawyer",1962,"Detchd","Unf",1,"Y",1,912,0,2,144000
55,5350,"BrkSide",1940,,,0,"Y",1,1306,0,3,76500
43,3182,"Blmngtn",2005,"Attchd","Fin",2,"Y",2,1504,0,2,191000
75,7500,"Sawyer",1963,"Attchd","Fin",1,"Y",1,1040,0,3,133000
82,9950,"NoRidge",1995,"Attchd","RFn",3,"Y",2,1214,1306,4,290000
,12728,"CollgCr",2001,"Attchd","Fin",2,"Y",2,1531,908,4,275000
80,8000,"NWAmes",1970,"Attchd","RFn",2,"Y",2,1403,1008,4,240050
86,10380,"SawyerW",1986,"Attchd","Fin",2,"Y",2,1553,1177,4,301000
,7830,"NAmes",1970,"Attchd","RFn",2,"Y",1,1180,0,2,128000
60,8544,"NAmes",1950,"Detchd","Unf",2,"Y",2,1040,0,2,92900
80,10400,"NWAmes",1970,"Attchd","Unf",2,"Y",2,1682,0,3,174000
85,10000,"Somerst",2006,"Attchd","RFn",3,"Y",2,1588,0,3,227000
98,11428,"NridgHt",2006,"Attchd","RFn",3,"Y",2,1634,0,3,250000
65,8385,"Mitchel",1978,"2Types","Unf",2,"Y",2,1664,0,4,145000
24,2280,"NPkVill",1976,"Attchd","Unf",2,"Y",2,855,601,3,148500
60,7200,"OldTown",1920,"Detchd","Unf",2,"N",1,998,764,4,157000
80,12984,"Crawfor",1977,"Attchd","Fin",2,"Y",2,1647,0,3,217500
56,4480,"OldTown",1922,"Detchd","Unf",1,"N",1,1022,0,2,89500
,10200,"Sawyer",1970,"2Types","Unf",3,"Y",1,904,0,3,144000
,11027,"NAmes",1954,"Attchd","RFn",2,"Y",2,1293,0,2,149900
70,10150,"NAmes",1958,"Attchd","RFn",1,"Y",1,912,0,2,114500
51,6120,"BrkSide",1930,"Detchd","Unf",1,"Y",1,728,434,3,75000
60,10950,"NAmes",1952,"Detchd","Unf",1,"Y",1,1064,0,2,135000
21,1476,"MeadowV",1970,,,0,"Y",1,546,546,3,76000
120,9560,"CollgCr",1972,"Attchd","RFn",1,"Y",1,864,0,3,128500
74,8532,"NAmes",1954,"Attchd","Fin",2,"Y",1,1297,0,3,153000
60,9000,"NAmes",1974,,,0,"Y",2,896,896,4,136000
43,7000,"SWISU",1926,"Detchd","Unf",1,"Y",1,743,736,3,160000
60,7230,"Crawfor",1927,"Detchd","Unf",2,"Y",2,867,851,4,238000
,13700,"NAmes",1965,"Attchd","Unf",2,"Y",1,902,918,4,201800
21,1504,"MeadowV",1972,"Attchd","Unf",1,"Y",1,546,546,3,85500
,11885,"CollgCr",2001,"BuiltIn","RFn",2,"Y",2,1299,573,3,261500
,32463,"Mitchel",1961,"2Types","Fin",4,"Y",1,1622,0,3,168000
60,10122,"OldTown",1948,"Detchd","Unf",1,"N",1,869,0,1,89900
64,11067,"IDOTRR",1939,"Detchd","Unf",1,"N",1,640,0,1,68104
149,19958,"Timber",1958,"Attchd","RFn",2,"Y",2,2279,0,4,257000
80,11600,"NAmes",1960,"Attchd","RFn",1,"Y",1,1383,0,3,145250
60,8520,"IDOTRR",1916,,,0,"N",1,576,360,2,78000
84,17808,"Edwards",1946,"Attchd","Unf",1,"N",1,1242,0,2,109900
52,7830,"OldTown",1921,"Detchd","Unf",1,"N",1,492,0,1,61500
68,4080,"OldTown",1935,"Detchd","Unf",1,"P",1,861,517,3,128900
70,6300,"SWISU",1938,"Basment","Unf",1,"Y",1,832,436,3,160000
60,7200,"NAmes",1954,"Attchd","Unf",1,"Y",1,825,0,2,109500
60,7350,"NAmes",1951,"Detchd","Unf",2,"Y",1,952,0,2,139000
,5814,"StoneBr",1984,"Attchd","RFn",2,"Y",1,1360,0,1,187500
,11717,"NWAmes",1970,"Attchd","RFn",2,"Y",2,1442,0,2,185000
60,6324,"BrkSide",1927,"Detchd","Unf",1,"Y",1,520,0,1,68500
73,9590,"Timber",2003,"Attchd","Fin",2,"Y",2,1146,0,3,187500
74,8899,"NridgHt",2007,"BuiltIn","Fin",3,"Y",2,948,1140,4,250000
63,11426,"OldTown",2003,"Detchd","Unf",2,"N",2,1362,720,3,200000
21,1900,"MeadowV",1970,,,0,"Y",1,546,546,3,88250
,12388,"NWAmes",1980,"BuiltIn","RFn",2,"Y",2,1539,1134,4,249000
50,5190,"Edwards",1948,"Attchd","Unf",1,"Y",1,617,462,2,125600
85,11475,"NWAmes",1975,"Attchd","RFn",2,"Y",2,811,741,3,179900
51,6120,"BrkSide",1936,"Detchd","Unf",2,"Y",1,1067,472,3,141500
78,12090,"NWAmes",1981,"Attchd","RFn",2,"Y",2,725,754,3,176000
70,7728,"NAmes",1962,"Attchd","Unf",2,"Y",1,1190,0,3,132500
68,9520,"Edwards",1953,"Attchd","RFn",1,"Y",1,930,0,2,99000
168,23257,"Gilbert",2006,"BuiltIn","RFn",2,"Y",2,887,1134,3,274725
,6291,"IDOTRR",1930,"Detchd","Unf",2,"N",1,768,0,1,93850
62,7984,"Gilbert",2004,"BuiltIn","Fin",2,"Y",2,868,762,3,189500
42,4385,"Somerst",2001,"Attchd","Fin",2,"Y",1,1419,0,2,290000
,2117,"Somerst",2000,"Detchd","Unf",2,"Y",2,769,756,3,177000
41,5748,"Crawfor",2005,"Attchd","Fin",2,"Y",2,1778,0,2,375000
81,8170,"Crawfor",1929,"Detchd","Unf",2,"Y",2,1122,549,4,218000
,3950,"OldTown",1926,"Detchd","Unf",1,"N",1,818,406,3,115000
70,9100,"NAmes",1960,"Attchd","RFn",1,"Y",1,1144,0,3,120000
,8900,"SawyerW",1966,"Detchd","Unf",1,"Y",1,1056,0,2,107000
52,9022,"OldTown",1924,"Detchd","Unf",1,"N",1,792,0,2,109500
70,9247,"NAmes",1962,"Attchd","Fin",2,"Y",1,858,858,4,171000
80,11844,"StoneBr",2008,"Attchd","Fin",3,"Y",2,2046,0,3,372500
87,11084,"Gilbert",2004,"BuiltIn","Fin",2,"Y",2,744,630,3,175000
52,5720,"OldTown",1941,"Detchd","Unf",1,"Y",1,676,455,3,66500
,12800,"SawyerW",1989,"Attchd","Fin",2,"Y",2,1644,0,2,275000
81,14175,"Sawyer",1956,"Attchd","Unf",1,"Y",1,1375,0,3,187000
75,10382,"NAmes",1958,"Attchd","RFn",1,"Y",1,1095,0,2,140000
53,4043,"NPkVill",1977,"Attchd","RFn",2,"Y",2,1069,0,2,127500
87,11146,"NridgHt",2006,"Attchd","RFn",3,"Y",2,1717,0,3,255500
65,8125,"Somerst",2005,"Attchd","RFn",2,"Y",2,756,797,3,186500
64,8334,"CollgCr",2006,"Attchd","Fin",2,"Y",2,1330,0,3,167840
51,10480,"SWISU",1936,"Detchd","Unf",1,"Y",1,1166,0,3,115000
96,12474,"NridgHt",2007,"BuiltIn","Fin",3,"Y",2,1742,590,3,426000
50,5000,"BrkSide",1941,"Detchd","Unf",1,"P",1,832,378,3,124000
80,9600,"NAmes",1950,"Attchd","Unf",1,"Y",1,1032,220,3,119000
49,15218,"Somerst",2006,"Attchd","RFn",3,"Y",2,1670,0,2,336820
50,6000,"BrkSide",1948,"Detchd","Unf",1,"P",1,780,636,3,139900
313,27650,"NAmes",1960,"Attchd","RFn",2,"Y",2,2069,0,4,242000
123,47007,"Edwards",1959,"Attchd","Unf",2,"Y",3,3820,0,5,284700
92,11932,"Somerst",2007,"Attchd","RFn",3,"Y",2,1580,0,3,235128
60,8172,"Edwards",1954,"Detchd","Unf",1,"Y",2,997,473,4,135000
60,7200,"NAmes",1950,"Detchd","Unf",2,"Y",1,1040,0,2,109500
60,8250,"NAmes",1963,"2Types","RFn",2,"Y",1,1053,0,3,142100
60,7200,"NAmes",1951,"Detchd","Unf",2,"Y",1,900,0,3,134800
72,8640,"Somerst",2007,"Attchd","Fin",2,"Y",2,1372,0,3,250580
60,7626,"NAmes",1952,"Attchd","Unf",1,"Y",1,1031,0,2,145500
129,16737,"NridgHt",2004,"Attchd","Fin",3,"Y",2,1980,0,3,315000
32,4500,"Mitchel",1997,"Attchd","RFn",2,"Y",2,1189,0,2,160500
78,10140,"NWAmes",1976,"Attchd","RFn",2,"Y",2,832,832,4,162900
60,10320,"IDOTRR",1906,"Detchd","Unf",1,"Y",1,756,713,3,135000
59,9171,"Gilbert",2004,"Attchd","Fin",2,"Y",2,848,750,3,201490
63,7500,"SawyerW",2004,,,0,"Y",1,1080,0,3,141000
,1700,"ClearCr",1980,"Basment","Fin",1,"Y",2,880,680,2,148400
150,14137,"Mitchel",1964,"2Types","Fin",3,"Y",1,1200,0,3,173000
70,10500,"NAmes",1971,"Detchd","Unf",2,"Y",1,864,0,2,97000
60,7332,"NAmes",1959,"Attchd","Unf",1,"Y",1,864,0,2,120000
60,13680,"Crawfor",1940,"Detchd","Unf",2,"Y",1,840,727,2,205000
75,9000,"IDOTRR",1958,"Attchd","Fin",1,"Y",2,1151,804,4,165500
68,9571,"Edwards",1956,"Attchd","Unf",1,"Y",1,1073,0,2,121500
85,10936,"Somerst",2006,"Attchd","Fin",2,"Y",2,1504,0,3,199000
35,3675,"Edwards",2005,"Basment","Fin",2,"Y",1,1072,0,2,145000
65,8127,"Somerst",2003,"Attchd","RFn",2,"Y",2,812,841,3,209000
60,8520,"OldTown",1923,"Detchd","Unf",2,"N",1,968,0,2,100000
75,9000,"NWAmes",1969,"Attchd","Unf",1,"Y",1,1216,0,3,113000
60,5400,"OldTown",1920,,,0,"N",1,1027,0,2,120000
76,11355,"NAmes",1958,"Attchd","RFn",2,"Y",1,1312,0,3,186000
57,21872,"Gilbert",1996,"Attchd","Unf",2,"Y",2,729,717,3,175000
57,8918,"Gilbert",2005,"Attchd","Fin",2,"Y",2,745,745,3,167800
78,9317,"CollgCr",2006,"Attchd","RFn",2,"Y",2,1314,0,3,176432
72,11317,"CollgCr",2003,"Attchd","RFn",2,"Y",2,840,828,3,180000
57,9184,"OldTown",1948,"Detchd","Unf",2,"Y",1,948,375,3,122600
38,14963,"Veenker",1996,"Attchd","Fin",2,"Y",1,1288,0,1,245500
98,12704,"NridgHt",2007,"Attchd","Fin",3,"Y",2,1582,0,3,317500
60,8967,"IDOTRR",1920,"Detchd","Unf",1,"N",1,1077,0,2,67000
,6820,"StoneBr",1985,"Attchd","RFn",2,"Y",1,1502,0,1,212000
67,8777,"Edwards",1949,"Detchd","Fin",2,"N",2,1126,0,2,108000
30,5330,"Somerst",2006,"Attchd","Fin",2,"Y",2,1550,0,2,207500
115,10500,"NAmes",1964,"Detchd","Unf",2,"Y",1,1292,0,3,145100
,8803,"Gilbert",1994,"Attchd","Fin",2,"Y",2,707,809,3,181316
24,2160,"BrDale",1973,"Attchd","Unf",2,"Y",1,765,600,3,125500
68,9928,"OldTown",1915,"Detchd","Unf",1,"N",2,1272,672,3,179900
,14217,"CollgCr",1994,"Detchd","Unf",2,"Y",1,1022,0,3,139500
53,9863,"OldTown",1927,"Detchd","Unf",1,"Y",1,914,728,4,145000
50,8012,"SawyerW",1993,"Attchd","RFn",2,"Y",2,1617,0,2,193000
85,10200,"NAmes",1974,"Attchd","RFn",2,"Y",2,1434,0,4,157000
98,12328,"StoneBr",2005,"BuiltIn","Fin",3,"Y",3,1164,1377,4,349265
21,1680,"BrDale",1971,,,0,"N",1,672,546,3,91500
42,4235,"Edwards",1984,"Attchd","Fin",1,"Y",2,1049,0,2,139500
62,7500,"Somerst",2007,"Attchd","Fin",2,"Y",2,1218,0,2,230348
,11425,"NAmes",1954,"Attchd","RFn",1,"Y",1,1008,0,2,137000
63,8402,"Gilbert",1998,"Attchd","Fin",2,"Y",2,789,676,3,180400
53,6360,"BrkSide",1942,"Detchd","Unf",1,"Y",1,955,498,3,132000
,5700,"OldTown",1926,"Detchd","Unf",1,"Y",1,572,539,2,116900
21,1890,"BrDale",1972,"Detchd","Unf",1,"Y",1,483,504,2,100500
57,8094,"OldTown",1915,"Detchd","Unf",2,"Y",2,1048,720,3,155000
81,11841,"Edwards",1990,,,0,"Y",1,816,0,3,118500
,7980,"Gilbert",1992,"Attchd","Fin",2,"Y",2,1187,0,3,185000
60,10560,"OldTown",1922,"Detchd","Unf",2,"Y",1,868,602,2,140750
51,6120,"BrkSide",1926,"Detchd","Unf",2,"Y",1,903,378,2,132500
87,10725,"NAmes",1959,"Attchd","RFn",1,"Y",1,1206,0,3,108538
60,6000,"OldTown",1905,,,0,"N",1,884,656,3,129400
98,12704,"NridgHt",2008,"Attchd","RFn",3,"Y",2,2042,0,3,253293
80,9938,"SawyerW",1994,"Attchd","RFn",2,"Y",2,1626,0,3,226500
21,1680,"BrDale",1972,"Attchd","Unf",1,"Y",1,483,504,2,94500
60,12900,"Sawyer",1920,"CarPort","Unf",2,"Y",1,1140,0,3,95541
,12250,"CollgCr",1978,"Attchd","Unf",2,"Y",1,1174,0,3,158000
79,10289,"NAmes",1965,"Attchd","RFn",2,"Y",1,1073,0,3,156000
43,12118,"Mitchel",2004,"Attchd","Fin",2,"Y",2,1710,0,3,240000
65,10926,"Edwards",1959,,,0,"Y",2,1678,0,6,119900
50,7420,"BrkSide",1939,"Attchd","RFn",1,"Y",1,1077,0,2,118000
60,7500,"Gilbert",1998,"Attchd","Fin",2,"Y",2,952,684,3,191000
85,6970,"Sawyer",1961,"Attchd","RFn",2,"Y",1,1120,0,3,129000
85,10560,"SawyerW",1993,"Attchd","RFn",2,"Y",2,1079,800,3,239900
70,10519,"Edwards",1955,"Attchd","Unf",1,"Y",1,1057,0,3,137000
77,9320,"NAmes",1959,,,0,"Y",1,1225,0,3,128950
90,7407,"OldTown",1957,"Attchd","Unf",2,"Y",1,1236,0,2,149700
,11000,"NAmes",1966,"Attchd","RFn",2,"Y",1,1154,0,3,154000
70,7315,"NAmes",1958,"Attchd","RFn",1,"Y",1,1170,0,3,140000
70,7000,"NAmes",1962,"Attchd","Unf",1,"Y",1,864,0,3,105000
95,15865,"NAmes",1970,"Attchd","Unf",2,"Y",2,2217,0,4,268000
91,11778,"CollgCr",2008,"Attchd","RFn",3,"Y",2,2276,0,3,475000
,12099,"NAmes",1953,"Attchd","Unf",1,"Y",1,1216,0,3,156000
60,8430,"CollgCr",1978,,,0,"Y",2,1040,0,3,124000
60,10266,"IDOTRR",1952,"Detchd","Unf",1,"Y",1,768,768,4,136000
60,7200,"CollgCr",1972,"Detchd","Unf",2,"Y",1,875,0,3,117000
50,6000,"OldTown",1957,"Attchd","Fin",1,"Y",1,928,0,3,112500
70,8304,"SawyerW",1997,"Attchd","RFn",2,"Y",2,941,896,3,187000
50,8480,"SawyerW",1993,"Attchd","RFn",2,"Y",2,886,794,3,163000
,3696,"StoneBr",1986,"Attchd","RFn",2,"Y",1,1088,0,2,170000
75,8250,"SawyerW",1981,"Attchd","Unf",2,"Y",2,964,918,4,160000
21,1890,"MeadowV",1976,"Attchd","Unf",1,"Y",1,546,546,3,75190
,9375,"CollgCr",1997,"Attchd","RFn",2,"Y",2,1057,977,3,219500
75,9375,"CollgCr",1997,"Attchd","Fin",2,"Y",2,1044,1054,4,240000
79,10208,"NoRidge",1996,"Attchd","RFn",3,"Y",2,1277,1067,3,265000
24,2645,"Somerst",1999,"Attchd","Fin",2,"Y",2,983,756,3,172500
,8121,"Gilbert",2000,"Attchd","RFn",2,"Y",2,953,711,3,172400
62,10042,"Edwards",1920,"Detchd","Unf",1,"Y",1,740,125,2,108500
129,16870,"NridgHt",2004,"Attchd","Fin",3,"Y",2,1782,0,3,296000
90,15750,"Crawfor",1953,"Attchd","Unf",1,"Y",1,1336,0,2,157000
,14541,"NoRidge",1993,"Attchd","RFn",3,"Y",2,1352,1168,5,310000
78,11700,"NWAmes",1968,"Attchd","RFn",2,"Y",1,1152,0,3,143450
72,9360,"Mitchel",1977,"Attchd","RFn",2,"Y",1,1287,0,2,173000
75,9750,"NWAmes",1965,"Detchd","Unf",2,"Y",2,1625,0,4,140500
59,7837,"Gilbert",1993,"Attchd","RFn",2,"Y",2,799,772,3,178000
70,8400,"Sawyer",1966,"Detchd","Unf",1,"Y",1,913,0,3,129000
68,9017,"CollgCr",1999,"Attchd","Fin",2,"Y",2,1431,0,3,192000
79,10634,"NAmes",1953,"Attchd","Unf",1,"Y",1,1319,0,3,123000
70,9370,"SawyerW",1992,"Attchd","RFn",2,"Y",2,844,887,3,248500
40,3876,"Greens",1978,"Attchd","Fin",2,"Y",1,1226,0,1,170000
56,18559,"NWAmes",1978,"Attchd","Fin",2,"Y",2,2064,0,3,235000
24,2160,"Somerst",1999,"Detchd","Unf",2,"Y",2,624,628,2,160000
95,10324,"CollgCr",2008,"Attchd","RFn",3,"Y",2,1254,0,2,221800
60,10440,"OldTown",1904,"Detchd","Unf",2,"P",2,958,581,3,157500
70,12702,"OldTown",1956,"Detchd","Unf",1,"Y",1,882,0,2,97000
51,8029,"Gilbert",2005,"Attchd","Fin",2,"Y",2,728,728,3,176000
101,14215,"NridgHt",2005,"BuiltIn","RFn",3,"Y",3,1158,1218,4,325300
98,16033,"NridgHt",2004,"Attchd","Fin",3,"Y",2,1850,0,3,326000
50,6000,"BrkSide",1940,"Detchd","Unf",1,"Y",1,1014,658,3,164900
51,6120,"BrkSide",1938,"Detchd","Unf",1,"Y",2,994,588,3,150000
81,11216,"Somerst",2006,"Attchd","RFn",2,"Y",2,1489,0,3,232600
